iter,gn_avg_100,gn_max_100
1,8.392,8.39
100,13.442,16.7
200,14.38,16.71
300,5.763,10.35
400,0.748,2.05
500,0.133,0.21
600,0.108,0.25
700,0.088,0.29
800,0.075,0.2
900,0.072,0.43
1000,0.07,0.22
1100,0.06,0.18
1200,0.046,0.15
1300,0.042,0.15
1400,0.05,0.2
1500,0.052,0.2
1600,0.044,0.1
1700,0.044,0.27
1800,0.043,0.12
1900,0.043,0.17
2000,0.044,0.14
2100,0.036,0.1
2200,0.032,0.11
2300,0.033,0.1
2400,0.031,0.08
2500,0.03,0.08
2600,0.03,0.14
2700,0.045,0.24
2800,0.034,0.12
2900,0.033,0.14
3000,0.031,0.13
3100,0.038,0.24
3200,0.031,0.13
3300,0.033,0.13
3400,0.029,0.13
3500,0.037,0.17
3600,0.026,0.08
3700,0.034,0.13
3800,0.031,0.14
3900,0.032,0.23
4000,0.028,0.13
4100,0.025,0.09
4200,0.024,0.08
4300,0.024,0.1
4400,0.022,0.1
4500,0.022,0.06
4600,0.028,0.12
4700,0.027,0.1
4800,0.029,0.16
4900,0.021,0.09
5000,0.022,0.08
5100,0.02,0.1
5200,0.024,0.1
5300,0.023,0.1
5400,0.024,0.1
5500,0.024,0.1
5600,0.024,0.14
5700,0.021,0.09
5800,0.026,0.09
5900,0.02,0.06
6000,0.019,0.12
6100,0.021,0.09
6200,0.017,0.05
6300,0.021,0.08
6400,0.019,0.09
6500,0.018,0.08
6600,0.02,0.09
6700,0.023,0.12
6800,0.021,0.07
6900,0.016,0.06
7000,0.028,0.12
7100,0.018,0.1
7200,0.02,0.06
7300,0.018,0.08
7400,0.019,0.07
7500,0.02,0.09
7600,0.02,0.09
7700,0.02,0.08
7800,0.018,0.06
7900,0.017,0.1
8000,0.017,0.1
8100,0.018,0.06
8200,0.021,0.09
8300,0.018,0.06
8400,0.017,0.07
8500,0.018,0.07
8600,0.019,0.08
8700,0.023,0.12
8800,0.017,0.06
8900,0.015,0.06
9000,0.014,0.05
9100,0.018,0.06
9200,0.016,0.06
9300,0.02,0.13
9400,0.018,0.07
9500,0.019,0.1
9600,0.018,0.11
9700,0.017,0.06
9800,0.017,0.08
9900,0.017,0.13
10000,0.016,0.09
10100,0.016,0.07
10200,0.015,0.06
10300,0.02,0.08
10400,0.016,0.07
10500,0.017,0.13
10600,0.017,0.07
10700,0.016,0.06
10800,0.017,0.1
10900,0.016,0.06
11000,0.015,0.06
11100,0.019,0.08
11200,0.017,0.07
11300,0.015,0.08
11400,0.016,0.09
11500,0.018,0.11
11600,0.016,0.06
11700,0.013,0.04
11800,0.014,0.07
11900,0.014,0.06
12000,0.013,0.05
12100,0.016,0.1
12200,0.013,0.06
12300,0.016,0.06
12400,0.013,0.05
12500,0.015,0.07
12600,0.017,0.09
12700,0.015,0.08
12800,0.014,0.05
12900,0.018,0.07
13000,0.015,0.1
13100,0.015,0.08
13200,0.016,0.08
13300,0.015,0.08
13400,0.014,0.07
13500,0.015,0.1
13600,0.014,0.05
13700,0.013,0.06
13800,0.015,0.08
13900,0.012,0.05
14000,0.016,0.11
14100,0.015,0.06
14200,0.016,0.11
14300,0.015,0.07
14400,0.015,0.07
14500,0.013,0.06
14600,0.016,0.07
14700,0.013,0.06
14800,0.014,0.06
14900,0.012,0.06
15000,0.017,0.1
15100,0.014,0.07
15200,0.013,0.06
15300,0.015,0.08
15400,0.013,0.04
15500,0.014,0.07
15600,0.013,0.05
15700,0.013,0.06
15800,0.013,0.04
15900,0.013,0.05
16000,0.013,0.05
16100,0.015,0.06
16200,0.014,0.04
16300,0.012,0.04
16400,0.012,0.04
16500,0.013,0.05
16600,0.014,0.07
16700,0.012,0.04
16800,0.013,0.06
16900,0.014,0.07
17000,0.014,0.08
17100,0.014,0.08
17200,0.013,0.07
17300,0.013,0.06
17400,0.015,0.09
17500,0.012,0.07
17600,0.012,0.06
17700,0.013,0.06
17800,0.012,0.08
17900,0.012,0.05
18000,0.016,0.1
18100,0.013,0.04
18200,0.012,0.07
18300,0.014,0.06
18400,0.013,0.05
18500,0.013,0.07
18600,0.013,0.04
18700,0.014,0.07
18800,0.014,0.06
18900,0.012,0.05
19000,0.012,0.05
19100,0.012,0.05
19200,0.013,0.07
19300,0.014,0.06
19400,0.014,0.06
19500,0.015,0.14
19600,0.013,0.08
19700,0.013,0.07
19800,0.012,0.04
19900,0.013,0.07
20000,0.013,0.05
20100,0.013,0.07
20200,0.012,0.06
20300,0.012,0.05
20400,0.012,0.05
20500,0.013,0.08
20600,0.012,0.05
20700,0.012,0.06
20800,0.012,0.04
20900,0.014,0.04
21000,0.012,0.04
21100,0.013,0.07
21200,0.011,0.04
21300,0.012,0.06
21400,0.011,0.04
21500,0.013,0.06
21600,0.012,0.06
21700,0.012,0.05
21800,0.013,0.06
21900,0.012,0.05
22000,0.011,0.04
22100,0.012,0.05
22200,0.011,0.03
22300,0.013,0.06
22400,0.015,0.06
22500,0.013,0.06
22600,0.014,0.04
22700,0.011,0.07
22800,0.013,0.07
22900,0.011,0.05
23000,0.011,0.05
23100,0.012,0.07
23200,0.012,0.05
23300,0.011,0.06
23400,0.013,0.07
23500,0.011,0.04
23600,0.012,0.09
23700,0.012,0.04
23800,0.011,0.04
23900,0.01,0.03
24000,0.016,0.1
24100,0.011,0.04
24200,0.012,0.05
24300,0.013,0.07
24400,0.012,0.06
24500,0.011,0.05
24600,0.012,0.07
24700,0.011,0.05
24800,0.016,0.13
24900,0.011,0.06
25000,0.01,0.03
25100,0.01,0.04
25200,0.01,0.04
25300,0.013,0.07
25400,0.012,0.05
25500,0.012,0.06
25600,0.011,0.07
25700,0.012,0.05
25800,0.012,0.05
25900,0.011,0.05
26000,0.011,0.04
26100,0.011,0.07
26200,0.01,0.03
26300,0.011,0.03
26400,0.012,0.05
26500,0.011,0.06
26600,0.008,0.05
26700,0.011,0.04
26800,0.013,0.13
26900,0.011,0.03
27000,0.011,0.08
27100,0.012,0.08
27200,0.013,0.07
27300,0.012,0.07
27400,0.01,0.07
27500,0.011,0.04
27600,0.01,0.03
27700,0.01,0.04
27800,0.012,0.05
27900,0.011,0.05
28000,0.011,0.09
28100,0.013,0.08
28200,0.012,0.07
28300,0.009,0.03
28400,0.01,0.07
28500,0.013,0.05
28600,0.01,0.04
28700,0.013,0.06
28800,0.012,0.04
28900,0.01,0.04
29000,0.013,0.05
29100,0.013,0.06
29200,0.012,0.07
29300,0.012,0.05
29400,0.011,0.09
29500,0.01,0.05
29600,0.012,0.05
29700,0.011,0.12
29800,0.012,0.05
29900,0.011,0.05
30000,0.011,0.05
30100,0.013,0.06
30200,0.011,0.06
30300,0.011,0.05
30400,0.01,0.04
