iter,gn_avg_100,gn_max_100
30500,0.01,0.05
30600,0.012,0.07
30700,0.011,0.05
30800,0.011,0.03
30900,0.012,0.05
31000,0.012,0.08
31100,0.009,0.04
31200,0.01,0.04
31300,0.009,0.04
31400,0.011,0.07
31500,0.01,0.04
31600,0.011,0.07
31700,0.014,0.06
31800,0.009,0.04
31900,0.011,0.05
32000,0.011,0.05
32100,0.013,0.07
32200,0.011,0.04
32300,0.011,0.05
32400,0.011,0.05
32500,0.011,0.04
32600,0.012,0.05
32700,0.01,0.06
32800,0.011,0.08
32900,0.011,0.05
33000,0.011,0.06
33100,0.01,0.06
33200,0.011,0.06
33300,0.013,0.16
33400,0.01,0.06
33500,0.012,0.07
33600,0.014,0.06
33700,0.011,0.05
33800,0.011,0.07
33900,0.01,0.03
34000,0.01,0.04
34100,0.01,0.04
34200,0.013,0.13
34300,0.011,0.04
34400,0.012,0.04
34500,0.01,0.06
34600,0.011,0.06
34700,0.011,0.07
34800,0.011,0.05
34900,0.011,0.05
35000,0.009,0.03
35100,0.01,0.03
35200,0.011,0.07
35300,0.011,0.05
35400,0.011,0.05
35500,0.011,0.06
35600,0.012,0.09
35700,0.009,0.04
35800,0.012,0.04
35900,0.011,0.04
36000,0.011,0.09
36100,0.012,0.03
36200,0.011,0.04
36300,0.011,0.04
36400,0.01,0.05
36500,0.009,0.03
36600,0.01,0.04
36700,0.012,0.06
36800,0.01,0.05
36900,0.01,0.06
37000,0.011,0.04
37100,0.01,0.04
37200,0.011,0.04
37300,0.009,0.03
37400,0.011,0.04
37500,0.01,0.04
37600,0.01,0.03
37700,0.01,0.06
37800,0.009,0.08
37900,0.01,0.05
38000,0.009,0.04
38100,0.01,0.06
38200,0.012,0.09
38300,0.01,0.04
38400,0.01,0.03
38500,0.011,0.07
38600,0.011,0.04
38700,0.013,0.08
38800,0.012,0.05
38900,0.011,0.05
39000,0.011,0.05
39100,0.011,0.05
39200,0.011,0.04
39300,0.01,0.05
39400,0.01,0.06
39500,0.009,0.04
39600,0.01,0.03
39700,0.01,0.04
39800,0.009,0.05
39900,0.011,0.05
40000,0.01,0.04
40100,0.009,0.04
40200,0.011,0.07
40300,0.01,0.03
40400,0.01,0.04
40500,0.011,0.06
40600,0.013,0.11
40700,0.01,0.03
40800,0.009,0.03
40900,0.011,0.06
41000,0.01,0.03
41100,0.01,0.06
41200,0.01,0.04
41300,0.01,0.08
41400,0.011,0.04
41500,0.01,0.06
41600,0.011,0.08
41700,0.01,0.06
41800,0.01,0.08
41900,0.01,0.05
42000,0.01,0.05
42100,0.011,0.1
42200,0.012,0.08
42300,0.011,0.08
42400,0.011,0.05
42500,0.009,0.03
42600,0.01,0.06
42700,0.011,0.05
42800,0.011,0.06
42900,0.01,0.03
43000,0.009,0.04
43100,0.01,0.04
43200,0.013,0.12
43300,0.01,0.05
43400,0.008,0.03
43500,0.01,0.05
43600,0.009,0.03
43700,0.01,0.03
43800,0.01,0.04
43900,0.009,0.04
44000,0.012,0.1
44100,0.012,0.07
44200,0.01,0.04
44300,0.009,0.03
44400,0.011,0.09
44500,0.01,0.04
44600,0.01,0.03
44700,0.013,0.18
44800,0.011,0.04
44900,0.009,0.03
45000,0.01,0.04
45100,0.01,0.04
45200,0.01,0.03
45300,0.01,0.06
45400,0.009,0.03
45500,0.009,0.04
45600,0.01,0.11
45700,0.01,0.05
45800,0.01,0.04
45900,0.009,0.04
46000,0.012,0.05
46100,0.01,0.04
46200,0.009,0.05
46300,0.011,0.07
46400,0.01,0.06
46500,0.01,0.03
46600,0.01,0.04
46700,0.009,0.05
46800,0.01,0.04
46900,0.009,0.05
47000,0.01,0.05
47100,0.009,0.04
47200,0.009,0.06
47300,0.009,0.04
47400,0.01,0.04
47500,0.01,0.07
47600,0.009,0.03
47700,0.01,0.04
47800,0.01,0.05
47900,0.012,0.07
48000,0.01,0.04
48100,0.012,0.04
48200,0.011,0.04
48300,0.01,0.03
48400,0.009,0.03
48500,0.011,0.05
48600,0.009,0.05
48700,0.008,0.03
48800,0.011,0.04
48900,0.01,0.06
49000,0.01,0.04
49100,0.01,0.07
49200,0.01,0.04
49300,0.01,0.04
49400,0.011,0.08
49500,0.01,0.05
49600,0.009,0.03
49700,0.01,0.05
49800,0.009,0.05
49900,0.009,0.03
50000,0.012,0.09
50100,0.01,0.06
50200,0.01,0.05
50300,0.011,0.05
50400,0.01,0.04
50500,0.011,0.06
50600,0.01,0.04
50700,0.01,0.04
50800,0.01,0.06
50900,0.009,0.03
51000,0.01,0.03
51100,0.01,0.04
51200,0.01,0.04
51300,0.009,0.07
51400,0.01,0.05
51500,0.009,0.04
51600,0.01,0.06
51700,0.009,0.05
51800,0.009,0.03
51900,0.011,0.05
52000,0.009,0.03
52100,0.009,0.05
52200,0.01,0.06
52300,0.009,0.04
52400,0.01,0.04
52500,0.011,0.04
52600,0.01,0.06
52700,0.011,0.1
52800,0.01,0.04
52900,0.009,0.04
53000,0.01,0.04
53100,0.009,0.05
53200,0.009,0.03
53300,0.012,0.08
53400,0.01,0.04
53500,0.011,0.05
53600,0.009,0.05
53700,0.009,0.04
53800,0.011,0.06
53900,0.01,0.03
54000,0.011,0.07
54100,0.01,0.06
54200,0.01,0.04
54300,0.009,0.05
54400,0.01,0.04
54500,0.009,0.05
54600,0.01,0.04
54700,0.01,0.04
54800,0.01,0.04
54900,0.01,0.05
55000,0.009,0.05
55100,0.01,0.08
55200,0.01,0.05
55300,0.01,0.04
55400,0.01,0.05
55500,0.009,0.05
55600,0.01,0.05
55700,0.01,0.03
55800,0.009,0.06
55900,0.009,0.06
56000,0.009,0.04
56100,0.008,0.03
56200,0.01,0.03
56300,0.01,0.12
56400,0.01,0.07
56500,0.009,0.03
56600,0.009,0.04
56700,0.009,0.05
56800,0.01,0.06
56900,0.01,0.07
57000,0.01,0.06
57100,0.009,0.05
57200,0.009,0.05
57300,0.008,0.03
57400,0.009,0.05
57500,0.01,0.05
57600,0.009,0.03
57700,0.008,0.03
57800,0.011,0.06
57900,0.009,0.03
58000,0.01,0.06
58100,0.01,0.04
58200,0.009,0.04
58300,0.009,0.04
58400,0.01,0.05
58500,0.008,0.03
58600,0.008,0.04
58700,0.01,0.05
58800,0.009,0.03
58900,0.009,0.05
59000,0.009,0.04
59100,0.009,0.07
59200,0.009,0.04
59300,0.01,0.03
59400,0.009,0.04
59500,0.012,0.05
59600,0.009,0.03
59700,0.01,0.04
59800,0.009,0.03
59900,0.009,0.11
60000,0.01,0.04
60100,0.009,0.04
60200,0.01,0.06
60300,0.009,0.03
60400,0.01,0.06
60500,0.009,0.04
60600,0.009,0.04
60700,0.009,0.04
60800,0.01,0.09
60900,0.009,0.06
61000,0.01,0.07
61100,0.009,0.08
61200,0.008,0.03
61300,0.009,0.04
61400,0.008,0.04
61500,0.009,0.03
61600,0.009,0.04
61700,0.009,0.08
61800,0.009,0.03
61900,0.009,0.05
62000,0.012,0.09
62100,0.009,0.05
62200,0.01,0.08
62300,0.009,0.04
62400,0.008,0.03
62500,0.009,0.04
62600,0.009,0.06
62700,0.01,0.03
62800,0.009,0.05
62900,0.009,0.05
63000,0.007,0.02
63100,0.011,0.05
63200,0.009,0.06
63300,0.01,0.06
63400,0.009,0.03
63500,0.011,0.05
63600,0.009,0.06
63700,0.009,0.03
63800,0.011,0.07
63900,0.011,0.07
64000,0.008,0.02
64100,0.009,0.05
64200,0.009,0.03
64300,0.011,0.06
64400,0.009,0.05
64500,0.01,0.1
64600,0.009,0.08
64700,0.009,0.04
64800,0.009,0.07
64900,0.008,0.05
65000,0.011,0.06
65100,0.011,0.06
65200,0.009,0.04
65300,0.011,0.07
65400,0.01,0.04
65500,0.009,0.03
65600,0.011,0.04
65700,0.009,0.07
65800,0.009,0.07
65900,0.011,0.09
66000,0.01,0.04
66100,0.009,0.05
66200,0.009,0.04
66300,0.008,0.03
66400,0.009,0.07
66500,0.009,0.03
66600,0.008,0.03
66700,0.008,0.03
66800,0.009,0.04
66900,0.009,0.05
67000,0.009,0.06
67100,0.011,0.1
67200,0.011,0.05
67300,0.01,0.04
67400,0.008,0.03
67500,0.009,0.03
67600,0.009,0.06
67700,0.01,0.06
67800,0.01,0.05
67900,0.01,0.08
68000,0.011,0.05
68100,0.009,0.03
68200,0.009,0.04
68300,0.01,0.04
68400,0.01,0.05
68500,0.009,0.05
68600,0.011,0.05
68700,0.008,0.04
68800,0.008,0.04
68900,0.008,0.05
69000,0.009,0.04
69100,0.009,0.04
69200,0.009,0.04
69300,0.009,0.03
69400,0.009,0.09
69500,0.01,0.1
69600,0.008,0.04
69700,0.009,0.04
69800,0.009,0.03
69900,0.009,0.03
70000,0.009,0.08
70100,0.009,0.04
70200,0.009,0.06
70300,0.01,0.05
70400,0.009,0.05
70500,0.007,0.03
70600,0.009,0.05
70700,0.008,0.06
70800,0.009,0.03
70900,0.01,0.05
71000,0.01,0.06
71100,0.008,0.03
71200,0.01,0.05
71300,0.01,0.05
71400,0.009,0.06
71500,0.009,0.05
71600,0.008,0.04
71700,0.008,0.03
71800,0.009,0.05
71900,0.008,0.05
72000,0.01,0.03
72100,0.01,0.05
72200,0.01,0.04
72300,0.009,0.06
72400,0.009,0.04
72500,0.009,0.05
72600,0.01,0.06
72700,0.009,0.06
72800,0.009,0.05
72900,0.009,0.05
73000,0.008,0.03
73100,0.009,0.04
73200,0.008,0.05
73300,0.01,0.04
73400,0.007,0.03
73500,0.009,0.04
73600,0.009,0.06
73700,0.008,0.04
73800,0.009,0.07
73900,0.009,0.03
74000,0.009,0.04
74100,0.009,0.07
74200,0.009,0.12
74300,0.009,0.04
74400,0.009,0.04
74500,0.009,0.03
74600,0.009,0.05
74700,0.009,0.04
74800,0.009,0.03
74900,0.009,0.04
75000,0.01,0.05
75100,0.01,0.04
75200,0.008,0.03
75300,0.01,0.04
75400,0.009,0.04
75500,0.009,0.04
75600,0.009,0.06
75700,0.009,0.03
75800,0.01,0.06
75900,0.01,0.05
76000,0.009,0.04
76100,0.011,0.05
76200,0.008,0.02
76300,0.009,0.04
76400,0.009,0.04
76500,0.008,0.07
76600,0.009,0.03
76700,0.009,0.05
76800,0.009,0.05
76900,0.009,0.05
77000,0.009,0.03
77100,0.009,0.04
77200,0.008,0.04
77300,0.008,0.04
77400,0.009,0.05
77500,0.01,0.05
77600,0.008,0.06
77700,0.009,0.04
77800,0.009,0.04
77900,0.01,0.04
78000,0.011,0.08
78100,0.01,0.04
78200,0.009,0.03
78300,0.008,0.04
78400,0.008,0.03
78500,0.008,0.03
78600,0.009,0.04
78700,0.009,0.05
78800,0.008,0.03
78900,0.009,0.04
79000,0.011,0.07
79100,0.01,0.04
79200,0.009,0.04
79300,0.009,0.04
79400,0.01,0.12
79500,0.009,0.03
79600,0.008,0.04
79700,0.01,0.05
79800,0.009,0.04
79900,0.01,0.04
80000,0.008,0.03
80100,0.011,0.17
80200,0.009,0.03
80300,0.01,0.05
80400,0.009,0.03
80500,0.009,0.04
80600,0.009,0.06
80700,0.008,0.04
80800,0.01,0.05
80900,0.009,0.04
81000,0.009,0.04
81100,0.009,0.04
81200,0.01,0.07
81300,0.009,0.05
81400,0.009,0.09
81500,0.01,0.04
81600,0.008,0.04
81700,0.008,0.07
81800,0.01,0.07
81900,0.009,0.03
82000,0.009,0.04
82100,0.009,0.04
82200,0.008,0.04
82300,0.009,0.03
82400,0.011,0.14
82500,0.008,0.03
82600,0.009,0.03
82700,0.009,0.04
82800,0.01,0.07
82900,0.009,0.04
83000,0.01,0.04
83100,0.008,0.03
83200,0.008,0.05
83300,0.008,0.03
83400,0.009,0.04
83500,0.009,0.04
83600,0.009,0.04
83700,0.008,0.05
83800,0.008,0.03
83900,0.009,0.05
84000,0.008,0.04
84100,0.008,0.06
84200,0.009,0.05
84300,0.009,0.04
84400,0.008,0.03
84500,0.008,0.04
84600,0.008,0.04
84700,0.008,0.03
84800,0.008,0.09
84900,0.01,0.05
85000,0.009,0.05
85100,0.01,0.04
85200,0.007,0.04
85300,0.009,0.05
85400,0.009,0.03
85500,0.009,0.04
85600,0.008,0.07
85700,0.008,0.03
85800,0.01,0.06
85900,0.008,0.04
86000,0.008,0.03
86100,0.009,0.04
86200,0.009,0.05
86300,0.01,0.07
86400,0.009,0.08
86500,0.009,0.04
86600,0.008,0.03
86700,0.009,0.04
86800,0.009,0.07
86900,0.01,0.05
87000,0.009,0.04
87100,0.01,0.05
87200,0.01,0.05
87300,0.009,0.04
87400,0.008,0.03
87500,0.008,0.06
87600,0.008,0.03
87700,0.008,0.05
87800,0.009,0.09
87900,0.008,0.05
88000,0.009,0.05
88100,0.007,0.02
88200,0.01,0.04
88300,0.008,0.03
88400,0.008,0.03
88500,0.008,0.05
88600,0.009,0.05
88700,0.008,0.03
88800,0.008,0.03
88900,0.008,0.03
89000,0.009,0.05
89100,0.009,0.04
89200,0.008,0.03
89300,0.01,0.04
89400,0.008,0.03
89500,0.009,0.06
89600,0.009,0.04
89700,0.009,0.04
89800,0.008,0.03
89900,0.01,0.08
90000,0.009,0.06
90100,0.008,0.04
90200,0.008,0.03
90300,0.009,0.07
90400,0.008,0.03
90500,0.009,0.05
90600,0.008,0.04
90700,0.008,0.03
90800,0.008,0.03
90900,0.01,0.04
91000,0.008,0.03
91100,0.009,0.05
91200,0.008,0.05
91300,0.01,0.06
91400,0.008,0.03
91500,0.009,0.1
91600,0.008,0.04
91700,0.008,0.02
91800,0.008,0.03
91900,0.009,0.04
92000,0.009,0.04
92100,0.009,0.03
92200,0.008,0.06
92300,0.008,0.03
92400,0.009,0.05
92500,0.008,0.03
92600,0.009,0.03
92700,0.01,0.04
92800,0.008,0.03
92900,0.01,0.05
93000,0.009,0.04
93100,0.009,0.03
93200,0.009,0.05
93300,0.01,0.05
93400,0.008,0.03
93500,0.01,0.09
93600,0.009,0.05
93700,0.008,0.04
93800,0.008,0.03
93900,0.009,0.07
94000,0.011,0.04
94100,0.008,0.05
94200,0.008,0.03
94300,0.008,0.05
94400,0.008,0.03
94500,0.008,0.06
94600,0.009,0.04
94700,0.008,0.04
94800,0.009,0.06
94900,0.009,0.04
95000,0.009,0.06
95100,0.007,0.03
95200,0.009,0.06
95300,0.009,0.04
95400,0.008,0.04
95500,0.009,0.05
95600,0.008,0.03
95700,0.009,0.04
95800,0.007,0.03
95900,0.008,0.03
96000,0.009,0.03
96100,0.009,0.05
96200,0.008,0.03
96300,0.009,0.11
96400,0.009,0.03
96500,0.01,0.06
96600,0.008,0.03
96700,0.009,0.03
96800,0.008,0.05
96900,0.007,0.03
97000,0.008,0.07
97100,0.009,0.05
97200,0.008,0.03
97300,0.007,0.03
97400,0.009,0.04
97500,0.009,0.05
97600,0.009,0.04
97700,0.009,0.03
97800,0.008,0.03
97900,0.008,0.03
98000,0.008,0.05
98100,0.008,0.05
98200,0.011,0.13
98300,0.007,0.03
98400,0.007,0.03
98500,0.009,0.04
98600,0.008,0.05
98700,0.008,0.03
98800,0.008,0.04
98900,0.008,0.04
99000,0.008,0.05
99100,0.007,0.03
99200,0.009,0.04
99300,0.008,0.03
99400,0.009,0.08
99500,0.009,0.05
99600,0.008,0.05
99700,0.009,0.06
99800,0.008,0.05
99900,0.009,0.04
100000,0.009,0.05
