iter,loss,recent_min,lr,it_per_s,elapsed_s
1,1.0004,1.0004,1e-07,0.96,1
100,0.9943,0.9799,1e-05,1.71,58
200,0.941,0.8855,2e-05,1.71,117
300,0.8459,0.7805,3e-05,1.71,175
400,0.7333,0.6467,4e-05,1.71,233
500,0.6247,0.5376,5e-05,1.71,292
600,0.5246,0.4415,6e-05,1.71,350
700,0.4479,0.3706,7e-05,1.72,408
800,0.3718,0.2862,8e-05,1.72,466
900,0.3077,0.2032,9e-05,1.72,525
1000,0.2495,0.1757,0.0001,1.72,583
1100,0.2011,0.1278,0.0001,1.72,641
1200,0.1676,0.1097,0.0001,1.72,700
1300,0.1445,0.089,0.0001,1.72,758
1400,0.1224,0.079,0.0001,1.72,816
1500,0.1184,0.0652,0.0001,1.72,875
1600,0.1143,0.0679,0.0001,1.72,933
1700,0.1078,0.059,0.0001,1.72,991
1800,0.094,0.0517,0.0001,1.72,1050
1900,0.0893,0.0497,0.0001,1.72,1108
2000,0.0864,0.0464,0.0001,1.72,1166
2100,0.0838,0.0435,0.0001,1.72,1224
2200,0.081,0.0433,0.0001,1.72,1283
2300,0.0772,0.0389,0.0001,1.72,1341
2400,0.0808,0.037,0.0001,1.72,1399
2500,0.0733,0.0359,0.0001,1.72,1458
2600,0.072,0.0314,0.0001,1.65,1574
2700,0.0614,0.0323,0.0001,1.65,1632
2800,0.058,0.0305,0.0001,1.66,1690
2900,0.0651,0.0265,0.0001,1.66,1748
3000,0.0523,0.0259,0.0001,1.66,1807
3100,0.0583,0.0249,0.0001,1.66,1865
3200,0.0553,0.0226,0.0001,1.66,1923
3300,0.0521,0.0229,0.0001,1.67,1982
3400,0.0506,0.0202,0.0001,1.67,2040
3500,0.0484,0.0224,0.0001,1.67,2098
3600,0.0574,0.021,0.0001,1.67,2157
3700,0.0478,0.0184,0.0001,1.67,2215
3800,0.0481,0.0195,0.0001,1.67,2273
3900,0.0463,0.0183,0.0001,1.67,2332
4000,0.0467,0.0175,0.0001,1.67,2390
4100,0.047,0.0172,0.0001,1.67,2448
4200,0.0515,0.0183,0.0001,1.68,2506
4300,0.04,0.0149,0.0001,1.68,2565
4400,0.047,0.014,0.0001,1.68,2623
4500,0.0328,0.0154,0.0001,1.68,2681
4600,0.0365,0.0142,0.0001,1.68,2740
4700,0.0419,0.0135,0.0001,1.68,2798
4800,0.0385,0.0141,0.0001,1.68,2856
4900,0.0338,0.0124,0.0001,1.68,2915
5000,0.0378,0.0125,0.0001,1.68,2973
5100,0.0351,0.0127,0.0001,1.65,3089
5200,0.0334,0.0126,0.0001,1.65,3147
5300,0.0351,0.0117,0.0001,1.65,3205
5400,0.0353,0.0114,0.0001,1.65,3264
5500,0.0363,0.0103,0.0001,1.66,3322
5600,0.0326,0.0107,0.0001,1.66,3380
5700,0.0357,0.0118,0.0001,1.66,3439
5800,0.0354,0.011,0.0001,1.66,3497
5900,0.0359,0.0116,0.0001,1.66,3555
6000,0.034,0.0104,0.0001,1.66,3614
6100,0.0389,0.0105,0.0001,1.66,3672
6200,0.0254,0.0095,0.0001,1.66,3730
6300,0.0306,0.009,0.0001,1.66,3789
6400,0.0314,0.0097,0.0001,1.66,3847
6500,0.0313,0.0101,0.0001,1.66,3905
6600,0.0251,0.009,0.0001,1.67,3964
6700,0.0331,0.0092,0.0001,1.67,4022
6800,0.0289,0.0088,0.0001,1.67,4080
6900,0.0227,0.0086,0.0001,1.67,4138
7000,0.0257,0.008,0.0001,1.67,4197
7100,0.029,0.0088,0.0001,1.67,4255
7200,0.0213,0.0082,0.0001,1.67,4313
7300,0.0245,0.0085,0.0001,1.67,4372
7400,0.0239,0.0084,0.0001,1.67,4430
7500,0.0245,0.008,0.0001,1.67,4488
7600,0.022,0.0077,0.0001,1.65,4604
7700,0.0212,0.0072,0.0001,1.65,4662
7800,0.0232,0.008,0.0001,1.65,4721
7900,0.0349,0.0074,0.0001,1.65,4779
8000,0.0267,0.0078,0.0001,1.65,4837
8100,0.0256,0.0077,0.0001,1.65,4896
8200,0.0276,0.0071,0.0001,1.66,4954
8300,0.0247,0.0071,0.0001,1.66,5012
8400,0.0231,0.0074,0.0001,1.66,5071
8500,0.0295,0.0071,0.0001,1.66,5129
8600,0.0211,0.0069,0.0001,1.66,5187
8700,0.024,0.0065,0.0001,1.66,5246
8800,0.0257,0.0067,0.0001,1.66,5304
8900,0.0241,0.0069,0.0001,1.66,5362
9000,0.0192,0.0067,0.0001,1.66,5421
9100,0.0253,0.0071,0.0001,1.66,5479
9200,0.0217,0.0054,0.0001,1.66,5537
9300,0.0215,0.0062,0.0001,1.66,5595
9400,0.0211,0.0064,0.0001,1.66,5654
9500,0.0175,0.0062,0.0001,1.66,5712
9600,0.0209,0.0064,0.0001,1.66,5770
9700,0.0233,0.0063,0.0001,1.66,5829
9800,0.0188,0.006,0.0001,1.66,5887
9900,0.0165,0.006,0.0001,1.67,5945
10000,0.0179,0.0061,0.0001,1.67,6004
10100,0.0177,0.0054,0.0001,1.65,6120
10200,0.0179,0.0063,0.0001,1.65,6178
10300,0.0204,0.0059,0.0001,1.65,6236
10400,0.0198,0.0059,0.0001,1.65,6295
10500,0.0193,0.0058,0.0001,1.65,6353
10600,0.0193,0.006,0.0001,1.65,6411
10700,0.0181,0.0051,0.0001,1.65,6469
10800,0.0224,0.0051,0.0001,1.65,6528
10900,0.0201,0.0057,0.0001,1.66,6586
11000,0.0166,0.0056,0.0001,1.66,6644
11100,0.0221,0.0047,0.0001,1.66,6703
11200,0.0183,0.0054,0.0001,1.66,6761
11300,0.0176,0.0056,0.0001,1.66,6819
11400,0.0152,0.0047,0.0001,1.66,6878
11500,0.0153,0.005,0.0001,1.66,6936
11600,0.0221,0.005,0.0001,1.66,6994
11700,0.018,0.0052,0.0001,1.66,7053
11800,0.0229,0.0055,0.0001,1.66,7111
11900,0.0163,0.0053,0.0001,1.66,7169
12000,0.0171,0.0051,0.0001,1.66,7227
