iter,loss,recent_min,lr,it_per_s,elapsed_s
1,1.7891,1.7891,1e-07,0.99,1
100,1.6819,1.4449,1e-05,1.72,58
200,1.0413,0.6246,2e-05,1.72,116
300,0.3224,0.1125,3e-05,1.72,174
400,0.0569,0.0232,4e-05,1.72,232
500,0.0237,0.0129,5e-05,1.72,290
600,0.0175,0.0057,6e-05,1.72,349
700,0.0119,0.0038,7e-05,1.72,407
800,0.0095,0.0028,8e-05,1.72,465
900,0.0086,0.0029,9e-05,1.72,523
1000,0.0082,0.0023,0.0001,1.72,581
1100,0.0077,0.0014,0.0001,1.72,639
1200,0.0071,0.0018,0.0001,1.72,697
1300,0.0062,0.0016,0.0001,1.72,755
1400,0.0066,0.0015,0.0001,1.72,813
1500,0.007,0.0013,0.0001,1.72,871
1600,0.0066,0.0012,0.0001,1.72,929
1700,0.0063,0.001,0.0001,1.72,988
1800,0.006,0.0015,0.0001,1.72,1046
1900,0.0066,0.0011,0.0001,1.72,1104
2000,0.0061,0.0011,0.0001,1.72,1162
2100,0.0057,0.0005,0.0001,1.72,1220
2200,0.0052,0.0006,0.0001,1.72,1278
2300,0.0053,0.0011,0.0001,1.72,1336
2400,0.0053,0.0008,0.0001,1.72,1394
2500,0.0049,0.0006,0.0001,1.72,1452
2600,0.0051,0.0006,0.0001,1.66,1567
2700,0.006,0.0008,0.0001,1.66,1625
2800,0.0053,0.0008,0.0001,1.66,1683
2900,0.0057,0.0007,0.0001,1.67,1741
3000,0.0052,0.001,0.0001,1.67,1800
3100,0.0053,0.0007,0.0001,1.67,1858
3200,0.0055,0.0008,0.0001,1.67,1916
3300,0.0056,0.001,0.0001,1.67,1974
3400,0.005,0.0005,0.0001,1.67,2032
3500,0.0053,0.0008,0.0001,1.67,2090
3600,0.0047,0.0008,0.0001,1.68,2148
3700,0.0057,0.0009,0.0001,1.68,2206
3800,0.0052,0.0008,0.0001,1.68,2264
3900,0.0055,0.0006,0.0001,1.68,2322
4000,0.0048,0.0004,0.0001,1.68,2380
4100,0.0049,0.0006,0.0001,1.68,2439
4200,0.0044,0.0004,0.0001,1.68,2497
4300,0.0049,0.0008,0.0001,1.68,2555
4400,0.0048,0.0006,0.0001,1.68,2613
4500,0.0048,0.0007,0.0001,1.68,2671
4600,0.0053,0.0004,0.0001,1.69,2729
4700,0.0049,0.0004,0.0001,1.69,2787
4800,0.0051,0.0004,0.0001,1.69,2845
4900,0.0043,0.0004,0.0001,1.69,2903
5000,0.0047,0.0005,0.0001,1.69,2961
5100,0.0043,0.0006,0.0001,1.66,3076
5200,0.0047,0.0003,0.0001,1.66,3134
5300,0.005,0.0005,0.0001,1.66,3192
5400,0.0045,0.0006,0.0001,1.66,3251
5500,0.0046,0.0006,0.0001,1.66,3309
5600,0.0049,0.0003,0.0001,1.66,3367
5700,0.0042,0.0007,0.0001,1.66,3425
5800,0.0044,0.0005,0.0001,1.67,3483
5900,0.0044,0.0006,0.0001,1.67,3541
6000,0.0042,0.0006,0.0001,1.67,3599
6100,0.0041,0.0004,0.0001,1.67,3657
6200,0.0038,0.0006,0.0001,1.67,3715
6300,0.0049,0.0002,0.0001,1.67,3774
6400,0.0042,0.0009,0.0001,1.67,3832
6500,0.0036,0.0004,0.0001,1.67,3890
6600,0.0048,0.0004,0.0001,1.67,3948
6700,0.0043,0.0004,0.0001,1.67,4006
6800,0.0048,0.0007,0.0001,1.67,4064
6900,0.0037,0.0003,0.0001,1.67,4122
7000,0.0054,0.0004,0.0001,1.67,4180
7100,0.004,0.0005,0.0001,1.68,4238
7200,0.0048,0.0005,0.0001,1.68,4296
7300,0.0043,0.0005,0.0001,1.68,4355
7400,0.0048,0.0005,0.0001,1.68,4413
7500,0.0046,0.0003,0.0001,1.68,4471
7600,0.0048,0.0002,0.0001,1.66,4586
7700,0.0047,0.0007,0.0001,1.66,4644
7800,0.0046,0.0004,0.0001,1.66,4702
7900,0.004,0.0003,0.0001,1.66,4760
8000,0.0037,0.0004,0.0001,1.66,4818
8100,0.0036,0.0004,0.0001,1.66,4876
8200,0.0051,0.0003,0.0001,1.66,4934
8300,0.0039,0.0003,0.0001,1.66,4992
8400,0.0041,0.0003,0.0001,1.66,5051
8500,0.0047,0.0004,0.0001,1.66,5109
8600,0.0046,0.0003,0.0001,1.66,5167
8700,0.0051,0.0004,0.0001,1.67,5225
8800,0.0039,0.0002,0.0001,1.67,5283
8900,0.0035,0.0003,0.0001,1.67,5341
9000,0.0036,0.0003,0.0001,1.67,5399
9100,0.0044,0.0004,0.0001,1.67,5457
9200,0.0042,0.0005,0.0001,1.67,5516
9300,0.0048,0.0006,0.0001,1.67,5574
9400,0.0044,0.0003,0.0001,1.67,5632
9500,0.0047,0.0005,0.0001,1.67,5690
9600,0.0041,0.0004,0.0001,1.67,5748
9700,0.0038,0.0003,0.0001,1.67,5806
9800,0.0043,0.0004,0.0001,1.67,5864
9900,0.0039,0.0006,0.0001,1.67,5922
10000,0.0042,0.0006,0.0001,1.67,5980
10100,0.0043,0.0004,0.0001,1.66,6095
10200,0.0039,0.0003,0.0001,1.66,6153
10300,0.0047,0.0005,0.0001,1.66,6212
10400,0.004,0.0003,0.0001,1.66,6270
10500,0.0043,0.0002,0.0001,1.66,6328
10600,0.004,0.0004,0.0001,1.66,6386
10700,0.0038,0.0003,0.0001,1.66,6444
10800,0.0042,0.0003,0.0001,1.66,6502
10900,0.0043,0.0003,0.0001,1.66,6560
11000,0.0039,0.0004,0.0001,1.66,6619
11100,0.005,0.0005,0.0001,1.66,6677
11200,0.0049,0.0005,0.0001,1.66,6735
11300,0.0035,0.0004,0.0001,1.66,6793
11400,0.0044,0.0002,0.0001,1.66,6851
11500,0.0041,0.0004,0.0001,1.66,6909
11600,0.004,0.0002,0.0001,1.66,6967
11700,0.0038,0.0006,0.0001,1.67,7025
11800,0.0038,0.0005,0.0001,1.67,7084
11900,0.0039,0.0004,0.0001,1.67,7142
12000,0.0036,0.0003,0.0001,1.67,7200
12100,0.0042,0.0002,0.0001,1.67,7258
12200,0.0032,0.0004,0.0001,1.67,7316
12300,0.0042,0.0007,0.0001,1.67,7374
12400,0.0032,0.0001,0.0001,1.67,7432
12500,0.0039,0.0004,0.0001,1.67,7490
12600,0.0045,0.0002,0.0001,1.66,7605
12700,0.004,0.0003,0.0001,1.66,7663
12800,0.0039,0.0002,0.0001,1.66,7721
12900,0.0046,0.0004,0.0001,1.66,7779
13000,0.0042,0.0004,0.0001,1.66,7838
13100,0.0039,0.0004,0.0001,1.66,7896
13200,0.0046,0.0006,0.0001,1.66,7954
13300,0.0038,0.0003,0.0001,1.66,8012
13400,0.004,0.0002,0.0001,1.66,8070
13500,0.0037,0.0003,0.0001,1.66,8128
13600,0.0039,0.0004,0.0001,1.66,8186
13700,0.0037,0.0004,0.0001,1.66,8245
13800,0.004,0.0003,0.0001,1.66,8303
13900,0.0033,0.0002,0.0001,1.66,8361
14000,0.0047,0.0004,0.0001,1.66,8419
14100,0.0041,0.0003,0.0001,1.66,8477
14200,0.0041,0.0005,0.0001,1.66,8535
14300,0.0047,0.0003,0.0001,1.66,8593
14400,0.0045,0.0003,0.0001,1.66,8652
14500,0.0039,0.0003,0.0001,1.66,8710
14600,0.0044,0.0004,0.0001,1.67,8768
14700,0.0034,0.0002,0.0001,1.67,8826
14800,0.004,0.0003,0.0001,1.67,8884
14900,0.0033,0.0005,0.0001,1.67,8942
15000,0.0043,0.0006,0.0001,1.67,9000
15100,0.0039,0.0002,0.0001,1.66,9115
15200,0.0037,0.0004,0.0001,1.66,9173
15300,0.004,0.0003,0.0001,1.66,9231
15400,0.0039,0.0005,0.0001,1.66,9290
15500,0.0038,0.0003,0.0001,1.66,9348
15600,0.0035,0.0003,0.0001,1.66,9406
15700,0.0036,0.0003,0.0001,1.66,9464
15800,0.0037,0.0004,0.0001,1.66,9522
15900,0.0035,0.0005,0.0001,1.66,9580
16000,0.0034,0.0003,0.0001,1.66,9638
16100,0.004,0.0003,0.0001,1.66,9697
16200,0.0038,0.0002,0.0001,1.66,9755
