iter,gn_avg_100,gn_max_100
24700,0.332,1.86
24800,0.286,2.18
24900,0.525,2.31
25000,0.484,2.45
25100,0.51,3.48
25200,0.566,3.01
25300,0.433,1.85
25400,0.451,7.44
25500,0.457,5.07
25600,0.39,2.18
25700,0.401,5.15
25800,0.407,1.48
25900,0.45,2.68
26000,0.359,3.41
26100,0.456,2.58
26200,0.349,1.62
26300,0.386,2.99
26400,0.563,4.95
26500,0.347,3.74
26600,0.438,2.77
26700,0.5,2.34
26800,0.478,2.02
26900,0.403,1.24
27000,0.39,2.69
27100,0.448,4.86
27200,0.313,1.08
27300,0.418,2.35
27400,0.449,5.19
27500,0.375,2.02
27600,0.46,3.16
27700,0.388,1.81
27800,0.334,1.8
27900,0.416,3.16
28000,0.41,4.69
28100,0.404,2.26
28200,0.298,2.2
28300,0.507,2.46
28400,0.383,1.92
28500,0.434,1.66
28600,0.35,1.71
28700,0.382,3.09
28800,0.46,5.43
28900,0.31,2.67
29000,0.543,9.54
29100,0.388,2.77
29200,0.356,2.45
29300,0.404,4.96
29400,0.467,2.25
29500,0.478,3.09
29600,0.407,2.39
29700,0.381,2.13
29800,0.31,0.93
29900,0.405,2.74
30000,0.526,3.11
30100,0.423,2.36
30200,0.446,2.07
30300,0.39,1.82
30400,0.499,4.11
30500,0.372,1.72
30600,0.379,1.71
30700,0.47,5.7
30800,0.328,1.8
30900,0.551,15.67
31000,0.346,1.22
31100,0.447,5.58
31200,0.489,1.34
31300,0.143,0.43
31400,0.408,3.56
31500,0.447,5.37
31600,0.453,1.93
31700,0.318,2.03
31800,0.391,1.35
31900,0.318,1.42
32000,0.381,2.23
32100,0.499,2.44
32200,0.379,2.6
32300,0.401,2.9
32400,0.399,2.57
32500,0.446,4.87
32600,0.473,3.09
32700,0.506,6.54
32800,0.281,1.08
32900,0.415,1.98
33000,0.394,2.16
33100,0.497,2.23
33200,0.369,1.2
33300,0.449,4.01
33400,0.475,5.43
33500,0.317,2.02
33600,0.399,3.12
33700,0.243,1.26
33800,0.372,2.8
33900,0.486,2.61
34000,0.44,2.8
34100,0.469,2.59
34200,0.386,2.52
34300,0.296,1.25
34400,0.359,2.12
34500,0.462,1.9
34600,0.35,2.18
34700,0.328,1.77
34800,0.342,1.17
34900,0.358,4.47
35000,0.394,1.54
35100,0.492,3.73
35200,0.188,0.69
35300,0.346,2.93
35400,0.367,1.25
35500,0.525,4.63
35600,0.378,5.27
35700,0.446,2.23
35800,0.307,1.98
35900,0.442,3.96
36000,0.496,3.67
36100,0.404,2.07
36200,0.334,2.27
36300,0.33,1.8
36400,0.274,0.85
36500,0.366,1.9
36600,0.303,2.42
36700,0.474,2.94
36800,0.201,1.31
36900,0.262,1.82
37000,0.328,1.96
37100,0.361,1.75
37200,0.442,2.35
37300,0.409,2.3
37400,0.389,3.06
37500,0.311,2.62
37600,0.317,3.14
37700,0.459,1.8
37800,0.311,1.24
37900,0.402,3.17
38000,0.27,1.12
38100,0.468,3.59
38200,0.348,2.33
38300,0.464,1.97
38400,0.339,1.45
38500,0.345,1.76
38600,0.443,2.63
38700,0.465,3.77
38800,0.38,4.49
38900,0.412,4.53
39000,0.342,2.83
39100,0.53,5.89
39200,0.415,3.28
39300,0.289,1.28
39400,0.354,4.64
39500,0.253,1.24
39600,0.453,4.32
39700,0.277,2.7
39800,0.313,1.02
39900,0.399,1.34
40000,0.393,2.85
40100,0.294,0.83
40200,0.454,3.75
40300,0.479,2.48
40400,0.339,2.44
40500,0.454,5.04
40600,0.364,3.39
40700,0.407,2.42
40800,0.462,3.43
40900,0.269,1.34
41000,0.413,8.33
41100,0.4,1.45
41200,0.485,10.05
41300,0.439,2.53
41400,0.425,3.09
41500,0.347,2.05
41600,0.445,2.95
41700,0.374,2.8
41800,0.381,5.39
41900,0.341,1.62
42000,0.438,1.78
42100,0.389,1.91
42200,0.252,0.72
42300,0.489,2.99
42400,0.332,1.39
42500,0.305,2.27
42600,0.345,2.95
42700,0.392,5.27
42800,0.398,2.91
42900,0.401,1.24
43000,0.325,1.31
43100,0.446,2.97
43200,0.337,1.43
43300,0.237,1.57
43400,0.279,2.76
43500,0.303,3.38
43600,0.446,2.72
43700,0.449,3.73
43800,0.311,2.76
43900,0.308,2.3
44000,0.296,4.2
44100,0.334,1.62
44200,0.354,5.0
