iter,gn_avg_100,gn_max_100
1,0.272,0.27
100,0.512,0.81
200,0.925,1.36
300,1.408,2.41
400,1.885,3.73
500,2.216,4.79
600,2.763,7.33
700,2.894,6.8
800,3.152,7.85
900,3.249,7.37
1000,3.384,8.46
1100,2.925,7.91
1200,3.034,10.9
1300,3.222,8.7
1400,2.799,13.57
1500,2.571,13.69
1600,2.988,8.83
1700,2.81,10.48
1800,2.399,8.32
1900,2.476,9.02
2000,2.605,11.57
2100,2.689,9.0
2200,2.26,8.86
2300,2.336,9.24
2400,2.327,7.64
2500,2.428,9.27
2600,2.163,9.03
2700,1.808,6.16
2800,1.838,7.8
2900,2.021,8.77
3000,1.648,7.53
3100,1.726,7.39
3200,1.823,11.41
3300,1.731,6.62
3400,1.747,12.76
3500,1.669,6.91
3600,1.972,8.74
3700,1.553,4.75
3800,1.444,6.17
3900,1.387,6.17
4000,1.912,13.29
4100,1.434,8.3
4200,1.768,10.75
4300,1.21,5.5
4400,1.525,5.03
4500,0.992,4.99
4600,1.22,4.49
4700,1.342,8.12
4800,1.354,6.72
4900,1.106,5.12
5000,1.321,8.01
5100,1.219,5.54
5200,1.118,5.18
5300,1.208,8.63
5400,1.125,5.48
5500,1.292,6.04
5600,1.1,7.26
5700,1.205,4.17
5800,1.155,4.31
5900,1.126,5.84
6000,1.126,9.68
6100,1.24,4.72
6200,0.895,3.33
6300,1.047,5.17
6400,1.159,5.52
6500,1.187,5.67
6600,0.759,4.39
6700,1.151,5.33
6800,0.979,4.19
6900,0.808,3.22
7000,0.859,6.32
7100,1.039,5.28
7200,0.756,4.7
7300,0.796,3.51
7400,0.78,3.75
7500,0.916,4.42
7600,0.72,5.65
7700,0.76,4.39
7800,0.924,4.73
7900,1.029,4.0
8000,0.982,4.43
8100,0.802,4.04
8200,0.941,5.37
8300,0.918,4.87
8400,0.789,4.63
8500,0.937,4.69
8600,0.721,5.57
8700,0.834,4.38
8800,0.991,4.04
8900,0.85,5.15
9000,0.8,3.37
9100,0.941,4.06
9200,0.793,6.08
9300,0.777,5.47
9400,0.747,5.74
9500,0.632,3.2
9600,0.746,6.74
9700,0.843,5.05
9800,0.683,4.44
9900,0.579,3.29
10000,0.704,4.27
10100,0.717,3.69
10200,0.675,3.71
10300,0.754,3.28
10400,0.793,6.38
10500,0.762,7.35
10600,0.813,4.66
10700,0.701,3.36
10800,0.811,4.59
10900,0.807,3.22
11000,0.697,2.81
11100,0.853,5.9
11200,0.668,4.92
11300,0.704,5.57
11400,0.549,2.84
11500,0.533,3.1
11600,0.916,4.03
11700,0.656,5.39
11800,0.749,3.53
11900,0.596,2.7
12000,0.675,3.15
12100,0.733,3.42
12200,0.827,3.77
12300,0.655,4.88
12400,0.58,4.42
12500,0.696,3.8
12600,0.733,4.59
12700,0.602,5.92
12800,0.492,3.43
12900,0.556,5.5
13000,0.759,4.64
13100,0.589,3.44
13200,0.56,2.15
13300,0.648,7.9
13400,0.638,4.46
13500,0.476,5.67
13600,0.624,3.66
13700,0.718,4.73
13800,0.376,2.53
13900,0.481,3.73
14000,0.748,7.43
14100,0.55,4.2
14200,0.57,5.01
14300,0.548,5.12
14400,0.605,4.1
14500,0.585,2.94
14600,0.601,4.67
14700,0.601,3.69
14800,0.501,3.34
14900,0.651,3.03
15000,0.584,2.76
15100,0.504,3.72
15200,0.4,2.45
15300,0.609,4.46
15400,0.515,5.0
15500,0.784,6.06
15600,0.571,3.08
15700,0.479,1.94
15800,0.543,1.86
15900,0.79,3.89
16000,0.604,5.54
16100,0.532,3.12
16200,0.635,2.87
16300,0.519,3.42
16400,0.614,3.81
16500,0.425,2.32
16600,0.788,4.08
16700,0.604,4.57
16800,0.561,5.54
16900,0.528,8.07
17000,0.648,2.96
17100,0.453,4.51
17200,0.588,4.3
17300,0.442,1.68
17400,0.567,3.63
17500,0.54,2.81
17600,0.387,2.22
17700,0.524,2.94
17800,0.488,4.0
17900,0.47,2.09
18000,0.619,9.5
18100,0.569,7.38
18200,0.466,2.22
18300,0.548,3.49
18400,0.461,1.85
18500,0.601,3.02
18600,0.32,1.67
18700,0.438,2.51
18800,0.421,2.05
18900,0.565,4.47
19000,0.453,2.83
19100,0.317,2.4
19200,0.514,4.37
19300,0.422,2.76
19400,0.571,6.92
19500,0.509,2.85
19600,0.412,5.4
19700,0.582,2.49
19800,0.412,2.35
19900,0.349,1.44
20000,0.57,5.6
20100,0.521,3.01
20200,0.373,3.25
20300,0.462,3.68
20400,0.4,3.48
20500,0.56,8.17
20600,0.531,3.89
20700,0.553,2.64
20800,0.498,2.3
20900,0.376,3.3
21000,0.55,2.3
21100,0.391,2.58
21200,0.464,3.1
21300,0.49,3.79
21400,0.5,4.18
21500,0.471,1.96
21600,0.525,4.18
21700,0.517,5.88
21800,0.531,3.17
21900,0.446,2.92
22000,0.341,1.78
22100,0.401,1.66
22200,0.405,1.06
22300,0.527,3.03
22400,0.532,3.17
22500,0.488,3.13
22600,0.384,1.89
22700,0.467,4.33
22800,0.464,6.02
22900,0.509,2.16
23000,0.465,6.89
23100,0.333,1.59
23200,0.387,2.9
23300,0.359,2.59
23400,0.57,6.28
23500,0.51,4.72
23600,0.513,2.59
23700,0.384,3.29
23800,0.474,2.48
23900,0.444,2.48
24000,0.481,2.52
24100,0.348,1.84
24200,0.327,1.96
24300,0.342,0.88
24400,0.48,4.05
24500,0.369,2.32
24600,0.367,2.11
