iter,loss,recent_min,lr,it_per_s,elapsed_s
1,0.9999,0.9999,,0.72,1
100,0.5398,0.1373,,1.01,99
200,0.0829,0.0463,,1.01,198
300,0.0487,0.0328,,1.01,298
400,0.0396,0.0264,,1.01,397
500,0.033,0.0223,,1.01,496
600,0.0288,0.0199,,1.01,596
700,0.0242,0.0156,,1.01,695
800,0.0226,0.0143,,1.01,794
900,0.0194,0.0129,,1.01,894
1000,0.0194,0.0118,,1.01,993
1100,0.0171,0.0108,,1.01,1092
1200,0.0169,0.009,,1.01,1192
1300,0.0138,0.0083,,1.01,1291
1400,0.0136,0.0079,,1.01,1390
1500,0.2688,0.0076,,1.01,1490
1600,0.1855,0.0234,,1.01,1589
1700,0.0219,0.0099,,1.01,1689
1800,0.0159,0.0071,,1.01,1788
1900,0.0102,0.0059,,1.01,1887
2000,0.0102,0.0058,,1.01,1987
2100,0.0088,0.0051,,1.01,2086
2200,0.0096,0.0046,,1.01,2185
2300,0.0092,0.0046,,1.01,2285
2400,0.0104,0.0039,,1.01,2384
2500,0.0079,0.0037,,1.01,2484
2600,0.0114,0.0037,,0.96,2712
2700,0.0072,0.0035,,0.96,2811
2800,0.0067,0.0031,,0.96,2910
2900,0.0068,0.0031,,0.96,3010
3000,0.0078,0.0033,,0.96,3109
3100,0.0057,0.0025,,0.97,3208
3200,0.0064,0.0025,,0.97,3308
3300,0.0079,0.0023,,0.97,3407
3400,0.0073,0.0028,,0.97,3507
3500,0.0069,0.0023,,0.97,3606
3600,0.0061,0.0022,,0.97,3705
3700,0.0082,0.0028,,0.97,3805
3800,0.0045,0.002,,0.97,3904
3900,0.0061,0.0021,,0.97,4003
4000,0.0043,0.0019,,0.97,4103
4100,0.0049,0.0018,,0.98,4202
4200,0.0094,0.0018,,0.98,4301
4300,0.0066,0.002,,0.98,4401
4400,0.0045,0.0018,,0.98,4500
4500,0.004,0.0017,,0.98,4599
4600,0.0038,0.0015,,0.98,4699
4700,0.0034,0.0016,,0.98,4798
4800,0.0051,0.0015,,0.98,4897
4900,0.0038,0.0016,,0.98,4997
5000,0.0051,0.0015,,0.98,5096
5100,0.7495,0.0023,,0.96,5324
5200,1.0003,0.9985,,0.96,5424
5300,1.0005,0.9984,,0.96,5523
5400,0.9372,0.2107,,0.96,5623
5500,0.1483,0.0116,,0.96,5722
5600,0.0115,0.0031,,0.96,5821
5700,0.0095,0.0026,,0.96,5921
5800,0.0046,0.002,,0.96,6020
5900,0.0092,0.0024,,0.96,6120
6000,0.0059,0.0022,,0.96,6219
6100,0.0044,0.0016,,0.97,6318
6200,0.0032,0.0013,,0.97,6418
6300,0.0029,0.0012,,0.97,6517
6400,0.0047,0.0012,,0.97,6616
6500,0.0067,0.0019,,0.97,6716
6600,0.0042,0.0011,,0.97,6815
6700,0.0041,0.0013,,0.97,6914
6800,0.0062,0.0018,,0.97,7014
6900,0.0032,0.0012,,0.97,7113
7000,0.0041,0.0012,,0.97,7212
7100,0.0035,0.0012,,0.97,7312
7200,0.0026,0.001,,0.97,7411
7300,0.0029,0.001,,0.97,7510
7400,0.0025,0.001,,0.97,7610
7500,0.0019,0.0009,,0.97,7709
7600,0.0018,0.0008,,0.96,7937
7700,0.0021,0.0008,,0.96,8036
7800,0.0018,0.0007,,0.96,8136
7900,0.002,0.0008,,0.96,8235
8000,0.0046,0.0008,,0.96,8334
8100,0.0032,0.0008,,0.96,8434
8200,0.003,0.0009,,0.96,8533
8300,0.0025,0.001,,0.96,8632
8400,0.0024,0.0008,,0.96,8732
8500,0.0056,0.0007,,0.96,8831
8600,0.0033,0.0008,,0.96,8930
8700,0.005,0.0009,,0.96,9030
8800,0.0028,0.0009,,0.96,9129
8900,0.002,0.0007,,0.96,9228
9000,0.0023,0.0007,,0.96,9328
9100,0.0041,0.0008,,0.97,9427
9200,0.003,0.0007,,0.97,9526
9300,0.1269,0.001,,0.97,9626
9400,1.0042,0.9991,,0.97,9725
9500,1.0004,0.9981,,0.97,9825
9600,1.0,0.999,,0.97,9924
9700,1.0001,0.9991,,0.97,10023
9800,1.0,0.9986,,0.97,10123
9900,1.0,0.9988,,0.97,10222
10000,1.0,0.9985,,0.97,10321
10100,1.0001,0.9986,,0.96,10550
10200,1.0,0.999,,0.96,10649
10300,1.0028,0.9983,,0.96,10749
10400,1.0,0.9987,,0.96,10848
10500,0.9999,0.9987,,0.96,10947
10600,1.0,0.9991,,0.96,11047
10700,0.9999,0.9986,,0.96,11146
10800,1.0001,0.9985,,0.96,11245
10900,1.0001,0.9991,,0.96,11345
11000,1.0,0.9989,,0.96,11444
11100,1.0002,0.9989,,0.96,11544
11200,1.0,0.9989,,0.96,11643
11300,1.0001,0.9992,,0.96,11742
11400,1.0,0.9988,,0.96,11842
11500,1.0,0.9989,,0.96,11941
11600,1.0,0.9986,,0.96,12041
11700,1.0,0.9984,,0.96,12140
11800,1.0002,0.9988,,0.96,12239
11900,1.0,0.999,,0.96,12339
12000,1.0002,0.9989,,0.96,12438
12100,1.0,0.999,,0.97,12538
12200,1.0001,0.999,,0.97,12637
12300,0.9999,0.9988,,0.97,12736
12400,1.0,0.9986,,0.97,12836
12500,1.0001,0.999,,0.97,12935
12600,1.0,0.9989,,0.96,13164
12700,1.0,0.9989,,0.96,13263
12800,1.0,0.9985,,0.96,13362
12900,1.0,0.9989,,0.96,13462
13000,1.0001,0.9988,,0.96,13561
13100,1.0,0.9987,,0.96,13661
13200,1.0001,0.9987,,0.96,13760
13300,1.0,0.999,,0.96,13859
13400,1.0,0.9988,,0.96,13959
13500,1.0001,0.999,,0.96,14058
13600,0.9999,0.9989,,0.96,14158
13700,1.0001,0.9991,,0.96,14257
13800,1.0,0.9987,,0.96,14357
13900,1.0001,0.9989,,0.96,14456
14000,1.0,0.999,,0.96,14555
14100,1.0,0.9991,,0.96,14655
14200,1.0,0.9988,,0.96,14754
14300,1.0001,0.9991,,0.96,14854
14400,1.0,0.9991,,0.96,14953
14500,1.0,0.9989,,0.96,15052
14600,1.0,0.999,,0.96,15152
14700,1.0,0.999,,0.96,15251
14800,1.0,0.9987,,0.96,15351
14900,1.0,0.9985,,0.96,15450
15000,1.0,0.9989,,0.96,15550
15100,1.0,0.9991,,0.96,15779
15200,0.9999,0.9987,,0.96,15878
15300,1.0001,0.9987,,0.96,15977
15400,1.0,0.9992,,0.96,16077
15500,1.0001,0.9991,,0.96,16176
15600,1.0,0.9991,,0.96,16276
15700,0.9999,0.9988,,0.96,16375
15800,1.0,0.9992,,0.96,16474
15900,1.0,0.9988,,0.96,16574
16000,1.0,0.9988,,0.96,16673
16100,1.0,0.999,,0.96,16773
16200,1.0,0.999,,0.96,16872
16300,1.0,0.9989,,0.96,16972
16400,1.0,0.9989,,0.96,17071
16500,1.0001,0.999,,0.96,17170
16600,1.0,0.999,,0.96,17270
16700,1.0,0.9987,,0.96,17369
16800,0.9999,0.9984,,0.96,17469
16900,1.0,0.9991,,0.96,17568
17000,1.0,0.9989,,0.96,17668
17100,1.0,0.9989,,0.96,17767
17200,1.0,0.9992,,0.96,17867
17300,1.0048,0.9991,,0.96,17966
17400,1.0001,0.999,,0.96,18066
17500,1.0,0.999,,0.96,18165
17600,1.0001,0.9989,,0.96,18393
17700,1.0,0.999,,0.96,18493
17800,1.0,0.9989,,0.96,18592
17900,1.0,0.9989,,0.96,18692
18000,1.0,0.999,,0.96,18791
18100,1.0,0.999,,0.96,18891
18200,1.0,0.9988,,0.96,18990
18300,1.0,0.9989,,0.96,19089
18400,0.9999,0.9988,,0.96,19189
18500,0.9998,0.9988,,0.96,19288
18600,0.9997,0.998,,0.96,19388
18700,1.0003,0.9971,,0.96,19487
18800,1.0001,0.9988,,0.96,19587
18900,1.0001,0.9985,,0.96,19686
19000,1.0,0.9988,,0.96,19786
19100,1.0,0.9987,,0.96,19885
19200,0.9999,0.9988,,0.96,19985
19300,0.9999,0.9988,,0.96,20084
19400,1.0,0.999,,0.96,20184
19500,1.0,0.9986,,0.96,20283
19600,0.9998,0.9988,,0.96,20382
19700,0.9998,0.9986,,0.96,20482
19800,0.9997,0.9988,,0.96,20581
19900,1.0,0.9987,,0.96,20681
20000,0.9999,0.9991,,0.96,20780
20100,0.9999,0.9988,,0.96,21009
20200,0.9998,0.9987,,0.96,21108
20300,0.9998,0.9983,,0.96,21208
20400,0.9996,0.9982,,0.96,21307
20500,0.9982,0.9971,,0.96,21407
20600,0.9979,0.997,,0.96,21506
20700,0.9977,0.9964,,0.96,21606
20800,0.9976,0.9967,,0.96,21705
20900,0.9976,0.9963,,0.96,21805
21000,0.9972,0.9956,,0.96,21904
21100,0.9959,0.9942,,0.96,22004
21200,0.998,0.9942,,0.96,22103
21300,0.9999,0.994,,0.96,22203
21400,0.9999,0.9989,,0.96,22302
