version,step,condition,occupancy_pct,empty_pct,wall_pct,roof_pct,ground_pct
v2,2500,munich_res_gabled_1960s,79.02355194091797,20.97644805908203,14.4439697265625,17.847919464111328,18.096160888671875
v2,2500,gruenderzeit_res_gabled_pre1919,80.63087463378906,19.369125366210938,15.379619598388672,17.458534240722656,18.691635131835938
v2,2500,modern_nonres_flat_2000s,80.21469116210938,19.785308837890625,14.496231079101562,17.856979370117188,17.096519470214844
v2,2500,rural_agricultural_monopitch_1980s,80.17988204956055,19.820117950439453,13.068294525146484,17.36431121826172,17.745685577392578
v2,5000,munich_res_gabled_1960s,71.28496170043945,28.715038299560547,15.128040313720703,14.511299133300781,14.441776275634766
v2,5000,gruenderzeit_res_gabled_pre1919,72.22023010253906,27.779769897460938,16.395187377929688,14.27316665649414,14.17989730834961
v2,5000,modern_nonres_flat_2000s,71.03548049926758,28.964519500732422,15.153121948242188,14.849472045898438,13.301372528076172
v2,5000,rural_agricultural_monopitch_1980s,73.50311279296875,26.49688720703125,14.593124389648438,15.160655975341797,13.746929168701172
v2,7500,munich_res_gabled_1960s,77.56938934326172,22.43061065673828,16.413021087646484,15.726661682128906,14.058876037597656
v2,7500,gruenderzeit_res_gabled_pre1919,76.38406753540039,23.61593246459961,16.57543182373047,14.995384216308594,14.666175842285156
v2,7500,modern_nonres_flat_2000s,75.84953308105469,24.150466918945312,17.12017059326172,14.493942260742188,14.069080352783203
v2,7500,rural_agricultural_monopitch_1980s,77.65836715698242,22.341632843017578,16.33749008178711,15.502166748046875,15.265464782714844
v2,10000,munich_res_gabled_1960s,77.3447036743164,22.655296325683594,15.644454956054688,16.269874572753906,15.929985046386719
v2,10000,gruenderzeit_res_gabled_pre1919,76.87911987304688,23.120880126953125,15.212440490722656,16.495132446289062,15.206718444824219
v2,10000,modern_nonres_flat_2000s,76.35993957519531,23.640060424804688,16.10574722290039,15.651416778564453,15.105819702148438
v2,10000,rural_agricultural_monopitch_1980s,76.76572799682617,23.234272003173828,15.761661529541016,15.666389465332031,15.739727020263672
v2,12500,munich_res_gabled_1960s,74.72610473632812,25.273895263671875,15.337944030761719,14.95819091796875,15.33975601196289
v2,12500,gruenderzeit_res_gabled_pre1919,75.65155029296875,24.34844970703125,15.529727935791016,14.972877502441406,15.34719467163086
v2,12500,modern_nonres_flat_2000s,74.97549057006836,25.02450942993164,17.08202362060547,13.341999053955078,15.303325653076172
v2,12500,rural_agricultural_monopitch_1980s,76.38740539550781,23.612594604492188,16.978931427001953,13.651561737060547,15.761470794677734
v2,15000,munich_res_gabled_1960s,74.41654205322266,25.583457946777344,14.731884002685547,15.893268585205078,14.618492126464844
v2,15000,gruenderzeit_res_gabled_pre1919,75.21257400512695,24.787425994873047,15.339469909667969,15.9576416015625,14.33401107788086
v2,15000,modern_nonres_flat_2000s,74.39908981323242,25.600910186767578,15.35177230834961,15.3778076171875,14.502906799316406
v2,15000,rural_agricultural_monopitch_1980s,74.89795684814453,25.10204315185547,14.918899536132812,15.807723999023438,14.717960357666016
v2,17500,munich_res_gabled_1960s,72.52864837646484,27.471351623535156,14.20602798461914,14.158821105957031,14.798831939697266
v2,17500,gruenderzeit_res_gabled_pre1919,73.25630187988281,26.743698120117188,15.036773681640625,14.638233184814453,14.627742767333984
v2,17500,modern_nonres_flat_2000s,72.6877212524414,27.312278747558594,14.406490325927734,14.599037170410156,14.859390258789062
v2,17500,rural_agricultural_monopitch_1980s,73.27098846435547,26.72901153564453,14.89267349243164,14.086723327636719,14.598464965820312
v3,2500,munich_res_gabled_1960s,79.47673797607422,20.52326202392578,17.350196838378906,16.013717651367188,15.878963470458984
v3,2500,gruenderzeit_res_gabled_pre1919,80.47075271606445,19.529247283935547,18.87950897216797,16.584110260009766,15.808773040771484
v3,2500,modern_nonres_flat_2000s,80.16929626464844,19.830703735351562,17.116546630859375,17.16899871826172,16.481971740722656
v3,2500,rural_agricultural_monopitch_1980s,79.23755645751953,20.76244354248047,17.859745025634766,15.607833862304688,18.352222442626953
v3,5000,munich_res_gabled_1960s,76.84488296508789,23.15511703491211,16.410446166992188,15.672969818115234,15.886306762695312
v3,5000,gruenderzeit_res_gabled_pre1919,79.9748420715332,20.025157928466797,18.059635162353516,16.28894805908203,16.68243408203125
v3,5000,modern_nonres_flat_2000s,77.51283645629883,22.487163543701172,16.068363189697266,16.66097640991211,15.749645233154297
v3,5000,rural_agricultural_monopitch_1980s,79.19788360595703,20.80211639404297,16.391944885253906,16.995716094970703,19.070816040039062
v3,7500,munich_res_gabled_1960s,79.34694290161133,20.653057098388672,18.723678588867188,16.875553131103516,15.700531005859375
v3,7500,gruenderzeit_res_gabled_pre1919,81.71138763427734,18.288612365722656,20.339012145996094,17.5018310546875,15.686893463134766
v3,7500,modern_nonres_flat_2000s,79.70170974731445,20.298290252685547,19.170761108398438,17.006683349609375,16.109752655029297
v3,7500,rural_agricultural_monopitch_1980s,81.48365020751953,18.51634979248047,18.77450942993164,16.907978057861328,17.196369171142578
v3,10000,munich_res_gabled_1960s,80.47399520874023,19.526004791259766,19.08283233642578,16.903305053710938,16.181182861328125
v3,10000,gruenderzeit_res_gabled_pre1919,81.8685531616211,18.131446838378906,20.349884033203125,17.174243927001953,16.50552749633789
v3,10000,modern_nonres_flat_2000s,81.6981315612793,18.301868438720703,20.35226821899414,16.918659210205078,16.368484497070312
v3,10000,rural_agricultural_monopitch_1980s,82.00321197509766,17.996788024902344,18.94397735595703,16.644287109375,17.479610443115234
v3,12500,munich_res_gabled_1960s,81.98041915893555,18.019580841064453,20.14598846435547,16.428565979003906,16.645240783691406
v3,12500,gruenderzeit_res_gabled_pre1919,81.87732696533203,18.12267303466797,20.438861846923828,17.037391662597656,15.866374969482422
v3,12500,modern_nonres_flat_2000s,82.33957290649414,17.66042709350586,20.94564437866211,17.177200317382812,15.970993041992188
v3,12500,rural_agricultural_monopitch_1980s,81.2382698059082,18.761730194091797,19.152069091796875,16.565418243408203,17.21324920654297
v3,15000,munich_res_gabled_1960s,82.40270614624023,17.597293853759766,20.714473724365234,17.23041534423828,15.949153900146484
v3,15000,gruenderzeit_res_gabled_pre1919,82.52744674682617,17.472553253173828,21.309375762939453,17.571640014648438,15.699100494384766
v3,15000,modern_nonres_flat_2000s,82.56568908691406,17.434310913085938,20.97463607788086,17.430973052978516,15.729999542236328
v3,15000,rural_agricultural_monopitch_1980s,81.33459091186523,18.665409088134766,19.579792022705078,17.132091522216797,16.85047149658203
v3,17500,munich_res_gabled_1960s,81.02521896362305,18.974781036376953,21.083545684814453,17.119789123535156,16.076374053955078
v3,17500,gruenderzeit_res_gabled_pre1919,81.5225601196289,18.477439880371094,21.313190460205078,17.362308502197266,16.642093658447266
v3,17500,modern_nonres_flat_2000s,81.09445571899414,18.90554428100586,20.72772979736328,17.380142211914062,16.323566436767578
v3,17500,rural_agricultural_monopitch_1980s,79.56247329711914,20.43752670288086,20.096492767333984,17.03472137451172,15.732765197753906
v3,20000,munich_res_gabled_1960s,79.98733520507812,20.012664794921875,20.5535888671875,15.514850616455078,15.9637451171875
v3,20000,gruenderzeit_res_gabled_pre1919,80.54380416870117,19.456195831298828,21.549701690673828,15.442371368408203,15.761089324951172
v3,20000,modern_nonres_flat_2000s,80.86709976196289,19.13290023803711,20.879745483398438,15.980720520019531,16.13483428955078
v3,20000,rural_agricultural_monopitch_1980s,80.11894226074219,19.881057739257812,20.180320739746094,15.891361236572266,16.135025024414062
v3,22500,munich_res_gabled_1960s,79.36859130859375,20.63140869140625,21.942710876464844,14.819049835205078,14.134502410888672
